code,arp2_code,name,type,address,locality,latitude,longitude
C756,,Cerealis,fornecedor,"Rua Manuel Gonçalves Lage, 988 -",Douro Litoral,41.201578,-8.593861
H19,7098,Cernache de Bonjardim II,loja,"Rua dos Pinheiros, S/ nº",Cernache de Bonjardim,39.80959,-8.1942
B51,9769,Chamusca,loja,"Rua Rui Gomes da Silva, 1",Chamusca,39.35691111,-8.481202778
F11,7912,Charneca da Caparica,loja,"R. António Andrade, Nº 1022",Charneca da Caparica,38.61698611,-9.192188889
D36,8940,Chaves,loja,Avenida Heróis de Chaves,Chaves,41.753175,-7.474461111
E54,7769,Chelas,loja,Rua Keill do Amaral Lt. 225 - D1,Lisboa,38.75937222,-9.124575
B32,9709,Chelas II,loja,"Rua Eng. Ferreira Dias, lote 106, loja A",Lisboa,38.75227222,-9.114591667
D30,8924,Cinfães,loja,"Rua Capitão Salgueiro Maia, S/N",Cinfães,41.073845,-8.089292
B50,9765,Codivel,loja,"Rua Ricardo Reis, 7, Bairro Codivel",Odivelas,38.79676944,-9.172633333
D24,8881,Coimbra,loja,"Praça 8 de Maio, nº11 - 13",Coimbra,40.21082,-8.429326
D97,8880,Coimbra,loja,"Rua Dr.António Granjo, 6",Coimbra,40.2093389,-8.4322222
9,,Coimbra,loja,"Rua Dom João III, Centro Comercial Dolce Vita",Coimbra,40.205656,-8.407166
D55,8943,Coimbra,loja,"Estrada da Beira, S/N",Coimbra,40.196877778,-8.402077778
19,,Coina,loja,"Barreiro Retail Park - Estrada Nacional 10, Km 18,5",Coina,38.583063,-9.043518
E84,7843,Colinas do Cruzeiro,loja,"Rua Pulido Valente, Lt 23",Odivelas,38.79095278,-9.190983333
I622,,Colreis,fornecedor,"Rua do Ribeiro, nº 70 - Vila de Lobão -",Douro Litoral,40.965307,-8.489805
D51,8956,Condeixa-a-nova,loja,Lugar da Venda Nova,Condeixa-a-Nova,40.1070881,-8.4927077
C763,,Cordeiro e Filhos,fornecedor,Faro -,Algarve,37.081099,-7.963979
H24,7113,Correeiros,loja,"Rua dos Correeiros, 61 A,B,C",Lisboa,38.711412,-9.137551
A59,2129,Corroios,loja,"Rua Quinta do Campo, 1/1 A",Setúbal,38.64199722,-9.153505556
A78,2344,Corujeira,loja,"Rua Nova da Corujeira, nº 13/19",Porto,41.158681,-8.580005
E80,7756,Costa da Caparica,loja,"Avenida Da República, n 13 A",Costa da Caparica,38.64476944,-9.235305556
D74,7743,Costa da Caparica II,loja,"Rua Dr. Aresta Branco, 12/12 A",Costa da Caparica,38.64137222,-9.231816667
A51,2102,Cova da Piedade,loja,"Estrada do Brejo, 20",Almada,38.66915,-9.159363889
E93,7701,Cova da Piedade,loja,"Praça Professor Egas Moniz, nº 13",Cova da Piedade,38.674792,-9.16134
E69,7869,Cova da Piedade I,loja,"Rua Francisco Vieira Almeida, 9",Almada,38.66578,-9.157871
E08,7028,Crato,loja,Rua 25 de Abril (Tapada da Câmara),Crato,39.29027,-7.64861
I685,,Cruz Caliços,fornecedor,"Urb. Comercial Vale de Santa Maria, Lt. 13 -",Algarve,37.101148,-8.270675
B07,9636,Cruz de Pau,loja,"Rua Infante D. Augusto, lote 1",Seixal,38.6245728,-9.1249164
A90,9779,Cruz de Pau,loja,"Estrada dos Foros de Amora, Nº 22 A e B",Amora,38.622052778,-9.125977778
E10,7039,Cuba,loja,"Rua 1º de Maio, nº 58",Cuba,38.16261,-7.89258
A32,474,Custóias,loja,Rua Cândido dos Reis s/n,Custóias,41.201480556,-8.645669444
B97-E72,7825,Dafundo,loja,"Rua Direita do Dafundo, nº 43 A, B, C",Algés,38.6999067,-9.2394914
B23,9684,Damaia II,loja,"Largo Cristovão da Gama, 10 B",Amadora,38.74893611,-9.211661111
B41,9734,Damaia III,loja,"R. Mouzinho de Albuquerque, nº 5/A e B",Damaia,38.74758333,-9.2179
P371A,,Decante A,fornecedor,Rua Faustino da Fonseca 2-2A -,Estremadura,38.736887,-9.216879
Dhollandia,,"Dhollandia - Plataformas, Lda",oficina,,Vila Franca de Xira,38.974306902645026,-8.976799208552235
A41,2049,Duque de Loulé,loja,"Avenida Duque de Loulé, nº 77",Lisboa,38.72682222,-9.146636111
62,,Eiras,loja,Ribeira de Eiras,Eiras,40.254172,-8.43026
F03,7910,Encarnação,loja,EN 9 - Rua Marita,Encarnação,39.030146,-9.36874
B30,9707,Encarnação,loja,"Rua Circular do Sul, nº 35, 35 A",Lisboa,38.770848,-9.112791
203,,"Entreposto Auchan/Minipreço (Valongo), N15-3 826, Gandra",centro_distribuicao,"N15-3 826, Gandra",Valongo,41.1755981535077,-8.44386115427077
206,,Entreposto Auchan/Minipreço Torres Novas,centro_distribuicao,Zibreira,Torres Novas,39.4769806318898,-8.62480393033487
201,,Entreposto Minipreço/Auchan Vialonga,centro_distribuicao,Estr. da Alfarrobeira 24,Vialonga,38.8860096710356,-9.05620084448319
B75,9823,Ericeira,loja,"Rua Alto da Camacha, S/N",Ericeira,38.96676111,-9.406613889
A74,2284,Espinho,loja,"Rua 23, nº 29",Espinho,41.007221,-8.64293
D31,8955,Esposende,loja,"Avenida José Inácio Areias, Marinhas (Outeiro)",Esposende,41.546530556,-8.781655556
B48,9761,Estefânia,loja,"Rua Almirante Barroso, 1-1B",Lisboa,38.73149444,-9.141291667
E86,7873,Estrada da Luz,loja,"Estrada da Luz, 173/173E",Lisboa,38.75539,-9.176367
21,,Evora,loja,Rua Adelino Fonseca,Evora,38.549669,-7.90556
B83,9853,Évora,loja,"Ferragial da Eira e do Couto, E.N. 18- Bairro do Frei Aleixo",Évora,38.581375,-7.902733333
E91,7895,Expo,loja,"Alameda dos Oceanos, 4.48.01 R/C",Lisboa,38.7783,-9.095319
3,,Fabrica do Peixe - Peniche,loja,"Porto Pesca, Peniche",Peniche,39.357197,-9.371346
A29,453,Fafe,loja,"Rua José Cardoso de Castro, nº 35",Fafe,41.449947222,-8.16485
E58,7773,Falagueira,loja,"Rua do Moinho, Lote 4 / Rua das Industrias, Lote 4 Armaz.",Falagueira,38.7572591,-9.2256854
D05,8809,Famalicão,loja,"Avenida 25 de Abril, nº4",Vila Nova de Famalicão,41.40937,-8.51922
31,,Famalicão,loja,Av. do Brasil - Quinta da Barberia - Antas,Famalicão,41.411321,-8.511765
D27,8937,Famalicão,loja,"Rua Alberto Sampaio, S/N",Vila Nova de Famalicão,41.400144444,-8.535091667
A33,477,Fânzeres,loja,"Rua da Poesia, 152/178",Fânzeres,41.160011111,-8.529883333
33,,Faro,loja,Forum Algarve - Estrada Nacional 125,Faro,37.028835,-7.94471
145,,Faro Comercio Electrónico,loja,Forum Algarve - Estrada Nacional 125,Faro,37.028835,-7.94471
D79,7733,Faro I,loja,"Largo do Terreiro do Bispo, nº 8/10",Faro,37.0172,-7.933005556
58,,Faro Mercado,loja,Mercado Municipal de Faro - Largo Dr. Francisco Sá Carneiro,Pa Faro,37.020107,-7.928665
H08,7022,Fátima,loja,Av. Irmã Lúcia de Jesus 68,Fátima,39.62252,-8.66141
256A,,Fayal Kompras Ambiente (Marfrete São João da Talha),fornecedor,"Estrada Nacional, 10 Edificio Edipad, Armazém B8; B9S",S. João da Talha,38.824307,-9.096561
256C,,Fayal Kompras Congelados (Bitralis STEF),fornecedor,"Estrada Nac. 10, Edificio Edipad,Armazém B8; B9S.",S. João da Talha,38.9857447632756,-8.96636076475308
256R,,Fayal Kompras Frutas e Refrigerados (Bitralis STEF),fornecedor,Quinta das Drogas Fração D/H,Alverca,38.824307,-9.096561
H50,8065,Febres,loja,"Rua Dr.Américo de Oliveira, S/N",Febres,40.4009956,-8.6239027
E61,7704,Feijó,loja,"Rua Dr. António Elvas, n.º 88 A/C",Almada,38.6543556,-9.161225
N095,,Ferbar,fornecedor,Maia,,41.2598873,-8.6361824
F14,7916,Fernão Ferro,loja,"Avenida 25 de Abril, lote 528 - I",Fernão Ferro,38.581764,-9.097308
B87,2335,Fernão Magalhães,loja,"Avenida Fernão Magalhães, nº 611",Porto,41.155238889,-8.595325
E09,7032,Ferreira do Alentejo,loja,Avenida Gago Coutinho e Sacadura Cabral s/n,Ferreira do Alentejo,38.061780556,-8.118011111
H11,7031,Ferreira do Zêzere,loja,"Qta. Do Adro, Lt. 39",Ferreira do Zêzere,39.693781,-8.2875964
H28,7607,Ferro,loja,"R. Dr. Duarte Simões 44, 6200-571",Ferro,40.23298114097432,-7.445983550122045
B31,9708,Fetais,loja,"Rua Cidade de Viseu, Lote 14, Fetais",Camarate,38.7981167,-9.1452784
34,,Figueira da Foz,loja,Centro Comercial Foz Plaza - Rua dos Condados,Figueira da Foz,40.16615,-8.860315
E37,8080,Figueira de Castelo Rodrigo,loja,"Rua Alvaros Castelões, S/N",Figueira de Castelo Rodrigo,40.89655,-6.9647
H16,7054,Figueiró dos Vinhos,loja,"Rua do Campo de Futebol, s/n",Figueiró dos Vinhos,39.89624,-8.28407
B25,9687,Filipa Vilhena,loja,"Rua D. Filipa de Vilhena, nº 30B",Lisboa,38.738401,-9.142124
E89,7771,Fitares,loja,"Est. Marquês de Pombal, S/Nº",Rio de Mouro,38.785138889,-9.315666667
368,,Florcash Lajes,fornecedor,"Quinta da Mata Zona E, Sete Casas",Loures,38.8435155011784,-9.17680628010037
H77,8619,Fonte Boa,loja,"Avenida da Igreja, nº 19",Fonte Boa,41.49992,-8.73953
B56,9781,Fontes Pereira de Melo,loja,"Av. Fontes Pereira de Melo, nº 25",Lisboa,38.730121,-9.147322
A56,2115,Forno do Tijolo,loja,"Rua Forno do Tijolo, nº 75",Lisboa,38.72598333,-9.134311111
E45,8836,Fornos de Algodres,loja,"Estrada Nacional 16, nº68",Fornos de Algodres,40.6164403,-7.5442118
E73,7811,Forte da Casa,loja,"Rua da Liberdade, nº 29, célula A",Forte da Casa,38.87393,-9.05545
E81,7715,Francisco Metrass,loja,"Rua Francisco Metrass, nº 71",Lisboa,38.71766389,-9.166533333
D41,8929,Freamunde,loja,Rua D. Mercedes de Barros,Freamunde,41.287108333,-8.335936111
E15,7075,Freixianda,loja,"Rua Principal, nº 52",Freixianda,39.759,-8.46036
H54,8081,Freixo de Espada-a-Cinta,loja,"Mercado Municipal, Av Guerra Junqueiro, S/N",Freixo de Espada-a-Cinta,41.08826,-6.80753
Frioglacial,,Frioglacial,oficina,"Rua Casal Viegas, nº1,  Carapinha",Alenquer,39.07176704647022,-9.006122845009267
H25,7114,Fronteira,loja,"Rua Maximiano Hipólito Cupeto Barradas, nº2",Fronteira,39.05478,-7.64898
D88,7763,Fundão,loja,"Av. da Liberdade, Edifício Acropole",Fundão,40.1389786,-7.5007301
E39,8821,Gafanha da Encarnação,loja,"Rua Padre António Diogo, S/N",Gafanha da Encarnação,40.61473,-8.73403
D53,8857,Gafanha da Nazaré,loja,"Avenida José Estevão, nº 481",Gafanha da Nazaré,40.637141667,-8.713161111
8,,Gaia,loja,Centro Comercial Arrábida Shopping Praceta Henrique Moreira,Vila Nova de Gaia,41.141307,-8.636677
D04,8870,Gaia II,loja,"Avenida da República, nº 313",Vila Nova de Gaia,41.135925,-8.607897222
K009,,GFS,fornecedor,Horta dos Velhos -,Estremadura,38.9682743,-9.04611
E48,8919,Góis,loja,"Avenida Combatentes do Ultramar, S/N",Góis,40.15792,-8.10992
B43,2276,Gondomar,loja,"Rampa dos Combatentes da Gr.Guerra, 15 R/C",Gondomar,41.143838889,-8.534383333
35,,Gondomar,loja,"Praceta Parque Nascente, 30 - Lugar da Ranha",Gondomar,41.175149,-8.565262
A36,2043,Graça,loja,"Largo da Graça, 101/2",Lisboa,38.71748889,-9.130161111
D34,8922,Guarda,loja,"Avenida de São Miguel, S/N",Guarda,40.5554428,-7.2456193
54,,Guarda,loja,"Av. dos Bombeiros Voluntários Egitanienses, nº 5",Guarda,40.541591,-7.266578
A37,2045,Guerra Junqueiro,loja,"Avenida Guerra Junqueiro, 8/A",Lisboa,38.7381167,-9.1346722
E46,8837,Guifões,loja,"Avenida Joaquim Neves dos Santos, 699",Guifões,41.192425,-8.668232
17,,Guimarães,loja,"Espaço Guimarães, E.N. 206",Guimarães,41.449096,-8.342499
351A,,Hipercais Ambiente (E.T.E. São João Talha),fornecedor,,,38.824307,-9.096561
351C,,Hipercais Congelados (Logislink),fornecedor,,,38.9857447632756,-8.96636076475308
351R,,Hipercais Refrigerados (Logislink),fornecedor,,,38.9857447632756,-8.96636076475308
E87,7868,Infantado,loja,"Rua Vasco da Gama, Nº 38",Loures,38.83984,-9.1601
C744,,Jacquot,fornecedor,Alverca,,38.9095692,-9.0284605
