code,name,latitude,longitude,raio,validado
423,My Auchan Bento Gonçalves,38.668465846586,-9.1662065337295,50,True
446,My Auchan Bento Jesus Caraça,41.163436286447,-8.5979508325559,50,True
420,My Auchan Bobadela,38.806787225371,-9.1010648834324,64,True
414,My Auchan Bordalo Pinheiro,38.738515353925,-9.1641759368053,59,True
444,My Auchan C.G. Guerra (VFX),38.955125772131,-8.9890960277232,50,True
443,My Auchan Cacilhas (Almada),38.685752383275,-9.1499175699406,50,True
439,My Auchan Calçada da Ajuda,38.701123563952,-9.2002695161429,50,True
450,My Auchan Campo Alegre - Porto,41.152788709035,-8.6368758174923,50,True
408,My Auchan Campolide,38.726499178768,-9.1655156368054,54,True
432,My Auchan Caparica,38.63879321791,-9.230828608633,86,True
451,My Auchan Capitão Leitão,38.679735783031,-9.1605567690966,50,True
416,My Auchan Colinas do Cruzeiro,38.789103651558,-9.1924999454037,50,True
445,My Auchan Conde Redondo,38.724850651059,-9.1460322567552,50,True
434,My Auchan D João II,38.530217852643,-8.8779306122684,69,True
404,My Auchan Duque de Ávila,38.735134208524,-9.1498203067459,64,True
430,My Auchan Elias Garcia,38.758120598887,-9.2355874343586,50,True
427,My Auchan Estrada de Benfica,38.747278545946,-9.1879731478505,65,True
441,My Auchan Fabrica 1921,38.749762258332,-9.1973111724161,50,True
436,My Auchan Ferreira Borges,38.718496791377,-9.1641241024815,50,True
412,My Auchan Gil Vicente,38.682223215888,-9.1529303656414,50,True
406,My Auchan Graça,38.722723346306,-9.1322528723873,50,True
402,My Auchan João XXI,38.74211198073,-9.1345890666892,100,True
435,My Auchan José Ricardo,38.734637015185,-9.1319367478504,56,True
462,My Auchan Largo da Graça,38.71748889,-9.130161111,50,True
425,My Auchan Luiz Queiroz,38.679435674083,-9.1557713475024,70,True
424,My Auchan Lumiar,38.767814780482,-9.1570816055225,85,True
455,My Auchan Manuel II (Maia),41.233357363226,-8.620679958706,50,True
442,My Auchan Morais Soares,38.732559021471,-9.1300146800415,50,True
433,My Auchan Oscar Monteiro Torres,38.743602346484,-9.1403229288708,80,True
403,My Auchan Pascoal de Melo,38.731529970781,-9.1383455092621,0,True
437,My Auchan Pedro Nunes,38.732640215449,-9.148141578014,50,True
410,My Auchan Penha de Fança,38.724738231383,-9.1295285190143,64,True
447,My Auchan Praça do Exército Libertador,41.166624363369,-8.6249272917252,50,True
407,My Auchan Queluz,38.756361449292,-9.2527470183853,92,True
452,My Auchan R Venezuela Porto,41.157449567782,-8.6418355776112,50,True
458,My Auchan Rinchoa,38.786138251365,-9.322255253085,50,True
449,My Auchan Rua de Camões - Porto,41.152842800318,-8.6101619954022,50,True
453,My Auchan Saldanha Porto,41.157187572144,-8.6792905877058,54,True
460,My Auchan Tires,38.711399364509,-9.3377097374344,50,False
734,AF Arcozelo,41.540761696415,-8.6176616122684,50,True
736,AF Avelar,39.918223122297,-8.3591275016332,50,True
703,AF Barcelos,41.528510660304,-8.5792258895493,50,True
724,AF Beja,38.008127149687,-7.8542114055225,79,True
712,AF Maceira do Lis,39.685383424171,-8.8863139929401,80,True
717,AF Mértola,38.020215673947,-7.8523062558197,144,True
727,AF Miranda do Corvo,40.089180978027,-8.3270418289596,63,True
725,AF Murça,41.403411156263,-7.4535351385189,64,True
726,AF Paredes,41.226642187471,-8.3159549674938,67,True
733,AF Parelhal Barcelos,41.532101693519,-8.6938809325409,50,True
708,AF Pataias,39.680408818785,-8.9739055122684,70,True
729,AF Penacova,40.30477975323,-8.3203723668995,50,True
710,AF Penamacor,40.16392,-7.17303,50,True
739,AF Q.Janeiro,38.66536308951,-9.1561868348604,50,True
738,AF Rio de Moinhos,41.11349393724,-8.2675853183942,50,True
711,AF Sabugal,40.349854205428,-7.082665219574,50,True
730,AF Vila Velha de Rodão,39.657293489152,-7.6764169890938,50,True
728,MAF Aguiar da Beira,40.830791798514,-7.529006983667,50,True
718,MAF Ariz,41.115777815551,-8.2167984545231,0,True
732,MAF Cepsa Chelas,38.755241393044,-9.1186941693115,50,True
731,MAF Cepsa Ramada,38.806526997921,-9.2001324153227,50,True
720,MAF Cruz Flores,38.785055263822,-9.1217436000347,94,True
722,MAF Fernão Ferro,38.584594870645,-9.0954118882286,70,True
723,MAF Forte da Casa,38.869450374007,-9.0621144343586,73,True
133,Preço Baixo Porto,41.18003,-8.58353,50,True
141,Comercio Electronico,38.776566121583,-9.2193792134918,351,True
142,Maia Comercio Electronico,41.249081088483,-8.6227177897575,198,True
160,Neomáquinas Benedita,39.421955192294,-8.9793714074028,80,True
161,Neomáquinas Pombal,39.893225434855,-8.6568605251313,180,True
163,J A Ferreira,37.110948577864,-8.1220348687173,70,True
166,Leça I,41.194707591887,-8.6969227681923,52,True
168,Leça II,41.19081,-8.70192,400,True
169,Angeiras,41.265754927626,-8.7244065238106,60,True
171,Povoa do Varzim,41.38678,-8.76989,400,True
190,Mercados Couto,40.754731684395,-8.5742151312828,50,True
226,Glória do Sol,39.044506960646,-8.6462248730129,60,True
229,Celorico de Basto,41.38417,-8.00197,150,True
231,Beja,38.020809759635,-7.8533136488261,50,True
236C,Hipercais,38.882761756041,-9.0452119699405,78,True
236R,Hipercais,38.78521694382,-9.1216963958939,151,True
238,Águas de Moura,38.58706,-8.69214,200,True
241,Vidigueira,38.21203,-7.80108,150,True
243,Amaral e Filhos Congelados - Bitranlis  STEF ,38.846970322968,-9.0738154673036,50,True
243A,Amaral e Filhos - Ambiente,41.396693360286,-8.7415379877663,50,True
243C,Amaral e Filhos - Congelados,39.035014365117,-8.9698608219624,50,True
244,Rui Dinorá,40.20156,-8.23739,100,True
245,Rui e Dinora ||,40.1965,-8.24269,400,True
248A,Bernardete,41.232671705023,-8.6613502149082,61,True
248C,Bernardete - Congelados,38.843722554593,-9.1741363140015,50,True
248R,Bernardete - Refrigerados,38.843648694982,-9.1738439532189,50,True
249,Superforos Salvaterra de Magos,38.996325772863,-8.7368578743404,100,True
254,Poceirão,38.63275,-8.742,200,True
256A,Fayal Kompras - Ambiente,38.817698070429,-9.092971499271,50,True
256C,Fayal Compras - Congelados,38.985624419664,-8.9663678734416,50,True
256R,Fayal Kompras - FRV & REF ,38.817547173625,-9.0928637737975,50,True
283,Sinal Mágico - Braga,41.52628,-8.44908,50,True
285A,Melim Porto,41.24342,-8.65819,400,True
327,Balazar,41.41436,-8.65167,100,True
350,Preço Baixo Viatodos,41.45602176804,-8.5648783506352,50,True
351A,Hipercais - Ambiente,38.817708414549,-9.093061353273,50,True
351C,Hipercais - Congelados,38.985732833931,-8.9664601641948,50,True
351R,Hipercais - Fruta e Refrigerados,38.985676541929,-8.96642688204,50,False
352,Glória do Ribatejo,39.04783,-8.69911,50,True
353,Positivo e Genuino,41.833570788765,-7.0097417922531,73,True
354,PB Póvoa de Varzim,41.377125150583,-8.7585879214611,50,True
